gene_id	gene_type	gene_name	level
ENSG00000223972.4	pseudogene	DDX11L1	level 2
ENSG00000227232.4	pseudogene	WASH7P	level 2
ENSG00000243485.2	lincRNA	MIR1302-11	level 2
ENSG00000237613.2	lincRNA	FAM138A	level 2
ENSG00000268020.2	pseudogene	OR4G4P	level 2
ENSG00000240361.1	pseudogene	OR4G11P	level 2
ENSG00000186092.4	protein_coding	OR4F5	level 2
ENSG00000238009.2	lincRNA	RP11-34P13.7	level 2
ENSG00000239945.1	lincRNA	RP11-34P13.8	level 2
ENSG00000233750.3	pseudogene	CICP27	level 1
ENSG00000237683.5	protein_coding	AL627309.1	level 3
ENSG00000268903.1	pseudogene	RP11-34P13.15	level 2
ENSG00000269981.1	pseudogene	RP11-34P13.16	level 2
ENSG00000239906.1	antisense	RP11-34P13.14	level 2
ENSG00000241860.2	processed_transcript	RP11-34P13.13	level 2
ENSG00000222623.1	snRNA	RNU6-1100P	level 3
ENSG00000241599.1	lincRNA	RP11-34P13.9	level 2
ENSG00000228463.4	lincRNA	AP006222.2	level 2
ENSG00000241670.2	pseudogene	AP006222.1	level 1
ENSG00000237094.7	lincRNA	RP4-669L17.10	level 2
ENSG00000250575.1	pseudogene	RP4-669L17.8	level 1
ENSG00000233653.3	pseudogene	CICP7	level 1
ENSG00000224813.2	pseudogene	RP4-669L17.4	level 2
ENSG00000235249.1	protein_coding	OR4F29	level 2
ENSG00000269732.1	pseudogene	WBP1LP7	level 1
ENSG00000256186.1	pseudogene	AL732372.1	level 3
ENSG00000236601.1	lincRNA	RP4-669L17.2	level 2
ENSG00000236743.1	lincRNA	RP5-857K21.15	level 2
ENSG00000236679.2	pseudogene	RP4-669L17.1	level 1
ENSG00000231709.1	lincRNA	RP5-857K21.1	level 2
ENSG00000235146.2	lincRNA	RP5-857K21.2	level 2
ENSG00000239664.2	lincRNA	RP5-857K21.3	level 2
ENSG00000230021.3	lincRNA	RP5-857K21.4	level 2
ENSG00000223659.1	lincRNA	RP5-857K21.5	level 2
ENSG00000225972.1	pseudogene	MTND1P23	level 2
ENSG00000225630.1	pseudogene	MTND2P28	level 2
ENSG00000237973.1	pseudogene	hsa-mir-6723	level 2
ENSG00000229344.1	pseudogene	RP5-857K21.7	level 2
ENSG00000240409.1	pseudogene	MTATP8P1	level 2
ENSG00000248527.1	pseudogene	MTATP6P1	level 2
ENSG00000198744.5	pseudogene	RP5-857K21.11	level 2
ENSG00000268663.1	pseudogene	WBP1LP6	level 1
ENSG00000185097.2	protein_coding	OR4F16	level 2
ENSG00000229376.3	pseudogene	CICP3	level 1
ENSG00000224956.5	pseudogene	RP11-206L10.1	level 1
ENSG00000235373.1	lincRNA	RP11-206L10.3	level 2
ENSG00000223181.1	snRNA	RNU6-1199P	level 3
ENSG00000240618.1	lincRNA	RP11-206L10.5	level 2
ENSG00000229905.1	antisense	RP11-206L10.4	level 2
ENSG00000228327.2	lincRNA	RP11-206L10.2	level 2
